iter	Passed	Remaining
0	3	3401
1	8	3996
2	12	4110
3	16	4074
4	20	4045
5	25	4271
6	29	4201
7	33	4141
8	36	4071
9	41	4152
10	46	4184
11	50	4141
12	54	4121
13	58	4092
14	63	4185
15	67	4163
16	72	4181
17	75	4138
18	79	4109
19	82	4061
20	87	4057
21	90	4008
22	93	3977
23	96	3930
24	99	3892
25	103	3859
26	106	3828
27	110	3830
28	113	3802
29	118	3828
30	121	3799
31	125	3793
32	128	3774
33	133	3778
34	136	3753
35	140	3758
36	143	3742
37	147	3739
38	151	3725
39	155	3732
40	159	3727
41	163	3722
42	166	3714
43	170	3703
44	173	3682
45	176	3670
46	180	3651
47	183	3644
48	187	3636
49	190	3616
50	193	3602
51	197	3594
52	200	3587
53	204	3574
54	207	3563
55	211	3560
56	214	3550
57	218	3551
58	221	3540
59	225	3530
60	228	3516
61	232	3514
62	235	3507
63	239	3502
64	242	3490
65	245	3480
66	249	3469
67	252	3457
68	255	3449
69	258	3437
70	262	3432
71	265	3420
72	268	3414
73	272	3403
74	274	3390
75	278	3383
76	281	3373
77	285	3369
78	288	3364
79	292	3360
80	295	3352
81	298	3343
82	302	3337
83	305	3327
84	309	3326
85	311	3314
86	314	3304
87	318	3297
88	321	3287
89	338	3424
90	342	3419
91	344	3403
92	347	3393
93	350	3378
94	353	3364
95	356	3358
96	359	3346
97	362	3339
98	366	3334
99	369	3328
100	373	3325
101	376	3317
102	380	3313
103	383	3307
104	387	3304
105	391	3299
106	394	3295
107	398	3294
108	402	3292
109	406	3286
110	409	3283
111	414	3284
112	417	3279
113	422	3282
114	426	3279
115	429	3271
116	432	3266
117	436	3261
118	440	3258
119	443	3251
120	446	3243
121	450	3238
122	453	3232
123	456	3228
124	460	3220
125	463	3214
126	467	3212
127	470	3206
128	473	3198
129	477	3192
130	481	3192
131	484	3184
132	487	3178
133	490	3170
134	493	3164
135	496	3156
136	499	3148
137	503	3143
138	506	3135
139	510	3136
140	513	3130
141	517	3126
142	520	3119
143	523	3112
144	526	3106
145	529	3098
146	533	3093
147	536	3088
148	540	3084
149	544	3082
150	547	3075
151	550	3070
152	553	3064
153	557	3063
154	560	3056
155	564	3052
156	567	3047
157	570	3040
158	573	3035
159	577	3029
160	581	3027
161	584	3024
162	589	3026
163	592	3021
164	597	3024
165	600	3018
166	604	3014
167	608	3011
168	611	3007
169	618	3021
170	624	3025
171	628	3025
172	631	3018
173	635	3017
174	639	3012
175	643	3010
176	646	3006
177	650	3006
178	654	3000
179	657	2994
180	660	2987
181	663	2980
182	666	2975
183	669	2968
184	672	2961
185	675	2956
186	678	2948
187	681	2942
188	684	2935
189	686	2928
190	690	2922
191	692	2915
192	695	2909
193	698	2903
194	701	2897
195	704	2891
196	707	2884
197	710	2878
198	713	2872
199	719	2878
200	723	2876
201	727	2875
202	731	2872
203	736	2874
204	740	2870
205	743	2866
206	746	2859
207	751	2862
208	754	2856
209	757	2850
210	760	2843
211	763	2836
212	766	2831
213	768	2824
214	771	2817
215	774	2811
216	777	2805
217	781	2803
218	784	2796
219	786	2789
220	790	2785
221	793	2779
222	796	2774
223	798	2767
224	801	2760
225	804	2755
226	807	2749
227	810	2744
228	813	2739
229	816	2733
230	819	2728
231	822	2722
232	825	2715
233	828	2712
234	831	2706
235	834	2701
236	837	2695
237	840	2689
238	843	2685
239	846	2679
240	849	2674
241	852	2668
242	855	2663
243	858	2659
244	861	2653
245	864	2649
246	867	2644
247	870	2639
248	874	2636
249	876	2630
250	879	2624
251	882	2619
252	885	2613
253	888	2608
254	891	2603
255	893	2597
256	896	2592
257	899	2586
258	901	2580
259	904	2575
260	907	2569
261	910	2563
262	913	2560
263	916	2555
264	919	2550
265	922	2545
266	925	2539
267	928	2535
268	931	2530
269	934	2525
270	936	2520
271	939	2515
272	944	2514
273	947	2510
274	951	2507
275	954	2502
276	957	2499
277	960	2495
