PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_U,Title,Age_scaled,Fare_scaled
1,0,3,0,22.0,1,0,7.25,False,True,False,False,False,False,False,False,False,True,1,-0.5657364610748746,-0.8797405693934278
2,1,1,1,38.0,1,0,71.2833,False,False,False,True,False,False,False,False,False,False,3,0.6638610320657843,1.3612199269233833
3,1,3,1,26.0,0,0,7.925,False,True,False,False,False,False,False,False,False,True,2,-0.2583370877897099,-0.798539974052802
4,1,1,1,35.0,1,0,53.1,False,True,False,True,False,False,False,False,False,False,3,0.4333115021019107,1.0620380556287106
5,0,3,0,35.0,0,0,8.05,False,True,False,False,False,False,False,False,False,True,1,0.4333115021019107,-0.7841792430073967
6,0,3,0,28.0,0,0,8.4583,True,False,False,False,False,False,False,False,False,True,1,-0.10463740114712752,-0.7386163019798164
7,0,1,0,54.0,0,0,51.8625,False,True,False,False,False,True,False,False,False,False,1,1.893458525206443,1.038145562232327
8,0,3,0,2.0,3,1,21.075,False,True,False,False,False,False,False,False,False,True,4,-2.1027333275006983,0.1364991380659541
9,1,3,1,27.0,0,2,11.1333,False,True,False,False,False,False,False,False,False,True,3,-0.1814872444684187,-0.48145578049281335
10,1,2,1,14.0,1,0,30.0708,False,False,False,False,False,False,False,False,False,True,3,-1.180535207645204,0.4894379098126231
11,1,3,1,4.0,1,1,16.7,False,True,False,False,False,False,False,True,False,False,2,-1.949033640858116,-0.09156500424402261
12,1,1,1,58.0,0,0,26.55,False,True,False,True,False,False,False,False,False,False,2,2.200857898491608,0.36526093570402607
13,0,3,0,20.0,0,0,8.05,False,True,False,False,False,False,False,False,False,True,1,-0.719436147717457,-0.7841792430073967
14,0,3,0,39.0,1,5,31.275,False,True,False,False,False,False,False,False,False,True,1,0.7407108753870755,0.5286989276421437
15,0,3,1,14.0,0,0,7.8542,False,True,False,False,False,False,False,False,False,True,2,-1.180535207645204,-0.806763380796033
16,1,2,1,55.0,0,0,16.0,False,True,False,False,False,False,False,False,False,True,3,1.9703083685277343,-0.13322852057373055
17,0,3,0,2.0,4,1,29.125,True,False,False,False,False,False,False,False,False,True,4,-2.1027333275006983,0.457519539438721
18,1,2,0,28.0,0,0,13.0,False,True,False,False,False,False,False,False,False,True,1,-0.10463740114712752,-0.3336984726090336
19,0,3,1,31.0,1,0,18.0,False,True,False,False,False,False,False,False,False,True,3,0.12591212881674602,-0.01838583697289204
20,1,3,1,28.0,0,0,7.225,False,False,False,False,False,False,False,False,False,True,3,-0.10463740114712752,-0.8828741679067217
21,0,2,0,35.0,0,0,26.0,False,True,False,False,False,False,False,False,False,True,1,0.4333115021019107,0.3444394801955362
22,1,2,0,34.0,0,0,13.0,False,True,False,False,True,False,False,False,False,False,1,0.35646165878061953,-0.3336984726090336
23,1,3,1,15.0,0,0,8.0292,True,False,False,False,False,False,False,False,False,True,2,-1.1036853643239128,-0.7865550587251358
24,1,1,0,28.0,0,0,35.5,False,True,False,False,False,False,False,False,False,False,1,-0.10463740114712752,0.6557188297748954
25,0,3,1,8.0,3,1,21.075,False,True,False,False,False,False,False,False,False,True,2,-1.6416342675729512,0.1364991380659541
26,1,3,1,38.0,1,5,31.3875,False,True,False,False,False,False,False,False,False,True,3,0.6638610320657843,0.5322916934007406
27,0,3,0,28.0,0,0,7.225,False,False,False,False,False,False,False,False,False,True,1,-0.10463740114712752,-0.8828741679067217
28,0,1,0,19.0,3,2,263.0,False,True,False,True,False,False,False,False,False,False,1,-0.7962859910387481,2.6987007794454887
29,1,3,1,28.0,0,0,7.8792,True,False,False,False,False,False,False,False,False,True,2,-0.10463740114712752,-0.8038521494426432
30,0,3,0,28.0,0,0,7.8958,False,True,False,False,False,False,False,False,False,True,1,-0.10463740114712752,-0.8019236166026618
31,0,1,0,40.0,0,0,27.7208,False,False,False,False,False,False,False,False,False,True,5,0.8175607187083667,0.4082334475616762
32,1,1,1,28.0,1,0,146.5208,False,False,True,False,False,False,False,False,False,False,3,-0.10463740114712752,2.097794920021772
33,1,3,1,28.0,0,0,7.75,True,False,False,False,False,False,False,False,False,True,2,-0.10463740114712752,-0.8189865811572414
34,0,2,0,66.0,0,0,10.5,False,True,False,False,False,False,False,False,False,True,1,2.8156566450619374,-0.5368057694182641
35,0,1,0,28.0,1,0,82.1708,False,False,False,False,False,False,False,False,False,True,1,-0.10463740114712752,1.5060857797883969
